id;nom;prenom;sexe;numero;voie;code_postal;commune
1;LAPOUGE;IOSIF;M;1283;CHEMIN DES REDONNETS;6530;Saint-Cézaire-sur-Siagne
2;CASTELLANI;LOVANN;M;18;RUE DU CHATEAU;6190;Roquebrune-Cap-Martin
3;CADO;LAURIANNA;F;3;ALLEE DU MICOCOULIER;6370;Mouans-Sartoux
4;GRAVE;SANSA;F;13;AVENUE DES CHENES VICTORIA PARK;6300;Nice
5;BAUDINO;RHALI;M;36;AVENUE SAINTE MARGUERITE;6400;Cannes
6;GUERRE;VELI;M;277;AVENUE GENERAL LECLERC;6140;Vence
7;BACHIR;ELMEDIN;M;58;AVENUE JEAN JAURES;6190;Roquebrune-Cap-Martin
8;PIGNOLET;KYLIAN;M;5;RUE DU VIGUIER;6470;Guillaumes
9;PETIT;HIRANUR;F;87;PROMENADE DES ANGLAIS;6000;Nice
10;JUHEL;SOL;M;821;CHEMIN DU COLOMBIER;6650;Le Rouret
11;MAZARD;ANASSE;M;3;AVENUE DU DOCTEUR MAURICE DONAT;6800;Cagnes-sur-Mer
12;TRABELSI;MARY-LOU;F;4;RUE FREDERIC MISTRAL;6530;Cabris
13;BALME;MALKA;F;99;AVENUE DE FRANCE;6430;Tende
14;MERESSE;HADASSAH;F;51;RUE DU HAUT ASINAS;6750;Séranon
15;VILLA;LALLA;F;766;CHEMIN DES MOLIERES;6690;Tourrette-Levens
16;VERY;YSALIS;F;1;TRAVERSE DEI TOURDRES;6560;Valbonne
17;RIQUELME;DARCY;F;271;AVENUE THEOPHILE GILLI;6390;Coaraze
18;HURTAUD;BRADY;M;42;RUE BASSE;6410;Biot
19;GASPARINI;FARDA;F;26;RUE JULES FERRY;6110;Le Cannet
20;DURMAZ;MENESSA;F;1099;ROUTE DES PREISSES;6440;Peillon
21;MANET;MOHAMED-ISLAM;M;203;CHEMIN DU MONESTIER;6530;Cabris
22;LYS;DOUAE;F;420;ROUTE DE LA MANDA;6510;Gattières
23;BLIN;RAKIM;M;13;CHEMIN DE L USINE ELECTRIQUE;6240;Beausoleil
24;ABDELLAOUI;KENDRICK;M;21;RUE DES ORANGERS;6530;Spéracèdes
25;PATRY;SHILO;M;4200;ROUTE DE NICE;6910;Roquestéron
26;PAPOT;SOUHAYL;M;58;CHEMIN DE LA COSTIERE;6000;Nice
27;PETROVIC;KYM;F;88;IMPASSE DE MEAYNE;6550;La Roquette-sur-Siagne
28;MBAYE;ISCIANE;F;13;RUE LOUISE BOURGAREL BENOIT;6130;Grasse
29;LORENT;LILOO;F;187;CAL DE SPAGNOL SOUTRAN;6200;Nice
30;TURQUET;ZAYID;M;21;CORNICHE ANTOINE LEON LAUGIER;6670;Colomars
31;ACCART;JAYNA;F;8;AVENUE JUSTINIA;6400;Cannes
32;LE PAPE;ANA;F;37;ALLEE DES LAURIERS;6210;Mandelieu-la-Napoule
33;JEAN-PIERRE;CHRISTOPHER;M;121;AVENUE DE YORKTOWN;6620;Le Bar-sur-Loup
34;PICAVET;SOA;F;20;RUE RENE DUNAN;6400;Cannes
35;KEMPF;AMINAH;F;118;CHEMIN DES BASSES MOULIERES;6130;Grasse
36;LECUYER;ILIAN;M;136;AVENUE TOTOCHE;6390;Berre-les-Alpes
37;ROUSSEL;SOLVEIG;F;31;RUE ETIENNE CURTI;6670;Colomars
38;ALCARAZ;ROMAYSSAE;F;279;ROUTE DE L EGLISE SAINT PONS;6450;Lantosque
39;BENITO;MATS;M;1305;CHEMIN DE LA CONSTANCE;6600;Antibes
40;GALVAN;ILENZO;M;6;RUE EMMA ET PHILIPPE TIRANTY;6000;Nice
41;SAUNIER;LUDOVIC;M;3278;ROUTE DE L ABADIE;6730;Saint-André-de-la-Roche
42;KAUFMANN;PAULIN;M;2;RUE LECERF;6400;Cannes
43;LENFANT;YLENZO;M;24;CHEMIN DU VIVIER;6130;Grasse
44;FESSARD;YASSINE;M;1470;CORNICHE D AGRIMONT;6700;Saint-Laurent-du-Var
45;MARCON;SYAM;M;15;ROUTE DE CASTAGNIERS;6670;Castagniers
46;BOURIEZ;ILIE;M;224;AVENUE SIMONE VEIL;6200;Nice
47;PITOIS;ESTEL;F;2566;ROUTE DE BERRE;6390;Contes
48;SAID;MASSIN;M;1088;CHEMIN DE SAINT ETIENNE;6570;Saint-Paul-de-Vence
49;MOHAMMAD;ROLAND;M;255;AVENUE DE PEYGROS;6530;Peymeinade
50;GOUDARD;TAHITIA;F;16;ALLEE DES IRIS;6910;Roquestéron
